dataset	ccode	cnumb	cluster	clust2	cname	yrbeg	yrend	decade	geo	royal	euro	lac	mideast	asia	africa	warend2	warend5	warend10	noviol2	noviol5	noviol10	gurr2	gurr5	gurr10	pol982	pol985	pol9810	polity2	polity5	polity10	pbs2ll	pbs2l	pbs5l	pbs10l	bollen80	gpol2	gciv2	gpol5	gciv5	gpol10	gciv10	gurrlag5	gurrlagx	outcome	outcome2	treaty	wardur	wartype	unintrvn	uncint	un2int	un2cint	untype	nouncint	peaceop	interven	major	pw10	elf	factmf	factnum	battle	dead	ridp	lifes	lifee	garm	gdp60	gdp85	gdpcap	rgdpcaps	rgdpcape	rgdpch	rgdpch2	aid91	en1	en2st	en2end	area	popst	popen5	popen10	popgro	infst	border	illit	illitend	water	gini1	transf85	sxp	nettrans	electric	en9903s	eh	coldwar	pbs2s3	pbs2s6	pbs2s9	pbs5s3	pbs5s6	pbs5s9	outcome3	negout	milout	logdead	trnsfcap	encaps	cost	costcap	intense	logcost	faction	factn1	factn2	un2cint1	un2cint2	un2cint3	un2cint4	un2cint5	untype1	untype2	untype3	untype4	untype5	strongUN	UNops	UNop1	UNop2	UNop3	UNop4	treatUN	outUN	factnum2	logpop	elfpop	elfpop2	untreaty	unout	exp	energy	ielec	ielf	ielf2	ielfpol	gini	ielfgini	gdp	PKO	enforce	truce	vrebel	vgov	UNopindx	RC2	IC2	LC2	develop	devel	PredUN	ResUN	Pred2UN	Res2UN	L1	Phat1	L2	Phat2	L3	Phat3	L4	Phat4	L5	Phat5	L6	Phat6	L7	Phat7	L8	Phat8	L10	Phat10	L11	Phat11	L12	Phat12	L13	Phat13	L14	Phat14	L15	Phat15	L16	Phat16	L17	Phat17
5	TAJ	122	TAJ	FSU	Tajikistan	92	94	5	3	0	0	0	1	0	0	1	1	NA	0	0	NA	5	8	NA	5	8	NA	-10	-10	NA	1	0	0	NA	NA	6	6	NA	NA	NA	NA	11	7	2	4	1	24	1	1	2	1	2	2	4	4	1	1	0	NA	1	4	25100	70000	600000	68.18	65.98	62.5	NA	167	178	1307	1307	700	1307	0	NA	974.16	634.47	143100	5600694	5945903	NA	2.8	112	4	2.3	2.3	69	30.53	2.5e+07	NA	2.5e+07	2216.61	NA	46	0	0	0	0	0	0	0	1	1	0	11.1563	4.46373	NA	670000	0.119628	0.0049845	13.415	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	2	16	15.5384	NA	NA	2	8	0.116488	974.16	2216.61	50.3499	2535.11	251.749	30.53	1537.18	700	0	0	0	0	0	0.25	0.478706	0.168043	0.240737	2216.61	2216.61	0.984506	-0.0154935	0.966937	-0.0330629	-1.80622	0.141095	-3.78651	0.0221719	-3.12559	0.042064	1.07641	0.745815	-5.46531	0.00421322	-4.73275	0.00872541	-2.6324	0.0670819	-4.71546	0.00887629	-4.98726	0.00677808	-0.785259	0.313188	-3.95824	0.0187389	0.243763	0.560641	-2.07122	0.111926	2.13079	0.89386	0.597017	0.644973	4.79902	0.991829
1	AZE	10	AZE	FSU	Azerbaijan	88	96	5	3	0	0	0	1	0	0	1	NA	NA	1	NA	NA	4	NA	NA	4	NA	NA	-10	NA	NA	0	0	0	NA	NA	6	4	NA	NA	NA	NA	3	3	3	3	0	96	1	0	0	0	0	0	2	2	1	0	0	NA	1	4	NA	55000	1700000	69.5	63	72	NA	NA	486	486	1460	1460	486	0	NA	3125.6	2469.8	86600	7021178	7855576	NA	0.7	81.36	5	2.7	2.7	NA	30.53	1.06e+08	NA	1.06e+08	2440	NA	32	1	0	0	0	0	0	0	1	1	0	10.9151	15.0972	NA	1.755e+06	0.249958	0.00260373	14.378	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	16	15.7644	NA	NA	0	0	0.122822	3125.6	2440	59.968	3596.16	239.872	30.53	1830.82	1460	0	0	1	0	0	0	0.515995	0.00395483	0.299471	2440	2440	0.723054	0.723054	0.590766	0.590766	-1.67731	0.157452	-3.65759	0.0251459	-2.99668	0.0475762	1.20533	0.769471	-5.46531	0.00421322	-4.73275	0.00872541	-3.14716	0.0412032	-5.23022	0.00532388	-5.50202	0.00406196	-1.30002	0.214162	-3.82933	0.0212623	0.372675	0.592105	-2.58598	0.0700465	1.61603	0.834246	0.725928	0.673911	4.92793	0.992811
5	GRG1	52	GRG	FSU	Georgia-Abkhazia	91	93	4	3	0	0	0	1	0	0	1	1	NA	1	1	0	15	15	NA	15	15	NA	-10	-10	NA	1	0	0	NA	NA	3	4	NA	NA	NA	NA	11	7	3	3	0	12	1	1	2	1	2	2	4	4	1	1	0	NA	1	3	1000	17500	250000	72.55	72.55	40.9	NA	NA	850	850	850	1157	850	0.2	NA	1768.04	890.93	69700	5466412	5160042	NA	-0.1	51.7	5	1	1	NA	34.43	1.312e+08	NA	1.312e+08	1175	NA	40	0	0	0	0	0	0	0	1	1	0	9.76996	24.0011	NA	267500	0.0489352	0.00407793	12.4969	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	3	9	15.5141	NA	NA	0	6	0.116764	1768.04	1175	45.8614	2103.27	687.921	34.43	1579.01	1157	0	0	1	0	0	0.25	0.43307	0.00688178	0.166909	1175	1175	0.9265	-0.0735001	0.892391	-0.107609	-2.4073	0.0826177	-4.38758	0.0122781	-3.72667	0.0235071	0.475335	0.616646	-4.50174	0.010968	-3.76919	0.0225505	-2.14158	0.10512	-4.22464	0.0144197	-4.49644	0.0110257	-0.294441	0.426917	-4.55932	0.0103607	-0.357314	0.41161	-1.5804	0.170739	2.6216	0.932239	-0.00406138	0.498985	4.19794	0.985196
5	BOS	133	BOS	YUG	Yugoslavia-Bosnia	92	95	5	1	0	1	0	0	0	0	1	1	NA	1	1	NA	9	NA	NA	9	NA	NA	-20	-20	NA	1	0	0	NA	NA	5	5	NA	NA	NA	NA	6	5	2	4	1	36	1	1	3	1	3	4	4	4	0	1	1	75	1	5	150000	250000	2500000	71.42	63.3	26	NA	NA	785	5172	4548	1690	4548	NA	NA	4261.03	2352.57	51233	4327168	3365727	NA	0.1	30.8	3	7.3	7.3	96	31.88	NA	NA	4.264e+08	506	56047	112	0	0	0	0	0	0	0	1	1	0	12.4292	98.5402	0.0129524	2.75e+06	0.63552	0.0176533	14.8271	1	0	1	0	0	0	1	0	0	0	0	1	0	1	2	0	0	1	0	2	4	25	15.2804	3.24538e+08	3.24538e+08	3	12	0.105403	4261.03	506	75	5625	675	31.88	2391	1690	1	0	0	0	0	0.5	0.533952	0.609147	0.131465	506	506	0.985943	-0.0140569	0.999121	-0.000879109	-2.79336	0.0576841	-4.77364	0.00837875	-4.11272	0.0160997	0.0892772	0.522304	-6.20012	0.00202507	-5.46757	0.00420373	-3.38725	0.0326962	-5.47031	0.00419229	-5.74211	0.00319773	-1.54011	0.176519	-4.94537	0.00706597	-0.743372	0.322267	-2.82607	0.0559317	1.37593	0.798337	-0.390119	0.403689	3.81188	0.978372
5	GRG2	53	GRG	FSU	Georgia-Ossetia	92	94	4	3	0	0	0	1	0	0	1	1	NA	1	1	0	15	15	NA	15	15	NA	-10	-10	NA	1	0	0	NA	NA	3	4	NA	NA	NA	NA	11	7	3	3	0	24	1	1	2	1	2	2	3	3	1	1	0	NA	1	3	1000	1250	250000	72.55	72.55	40.9	NA	NA	850	850	850	1157	850	0.2	NA	1768.04	890.93	69700	5466412	5160042	NA	-0.1	51.7	5	1	1	NA	34.43	1.312e+08	NA	1.312e+08	1175	NA	40	0	0	0	0	0	0	0	1	1	0	7.1309	24.0011	NA	251250	0.0459625	0.0019151	12.4342	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	3	9	15.5141	NA	NA	0	6	0.116764	1768.04	1175	45.8614	2103.27	687.921	34.43	1579.01	1157	0	0	1	0	0	0.25	0.436437	0.00688178	0.166909	1175	1175	0.876727	-0.123273	0.827253	-0.172747	-2.4073	0.0826177	-4.38758	0.0122781	-3.72667	0.0235071	0.475335	0.616646	-4.50174	0.010968	-3.76919	0.0225505	-2.10808	0.108314	-4.19114	0.0149036	-4.46294	0.011397	-0.260939	0.435133	-4.55932	0.0103607	-0.357314	0.41161	-1.5469	0.175535	2.65511	0.934325	-0.00406138	0.498985	4.19794	0.985196
1	BRM2	15	BRM	BRM	Burma	68	82	3	4	0	0	0	0	1	0	0	0	0	0	0	0	2	2	1	2	2	1	-20	-20	-20	0	0	0	0	11	7	7	7	7	7	7	3	12	3	3	0	168	1	0	0	0	0	0	0	0	1	1	1	47	1	3	7000	250000	1000000	45.01	54	17	296	561	415	415	599	397	397	NA	0.027	56.09	39.42	676580	25943000	36943000	NA	-5	150	5	29	16.38	59.7	35	7e+06	0.14	5.54545e+06	30.8671	1784	55	1	0	0	0	0	0	0	1	1	0	12.4292	0.213755	6.87661e-05	1.25e+06	0.0481826	0.000286801	14.0387	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	9	17.0714	1.21932e+09	1.21932e+09	0	0	0.14	56.09	30.8671	47	2209	94	35	1645	397	0	0	1	0	0	0	0.506913	5.59949e-05	0.022715	30.8671	30.8671	0.546472	0.546472	0.599672	0.599672	-3.06754	0.0444662	-5.04783	0.00638229	-4.38691	0.0122863	-0.184906	0.453905	-4.50174	0.010968	-3.76919	0.0225505	-2.96577	0.0489964	-5.04882	0.00637597	-5.32063	0.00486589	-1.11863	0.246266	-5.21956	0.00538061	-1.01756	0.265504	-2.40458	0.0828239	1.79742	0.857834	-0.664303	0.339774	3.5377	0.971742
2	SRI2	118	SRI	SRI	Sri Lanka (Tamil)	83	NA	4	4	0	0	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	-20	-20	-20	0	0	0	0	83	3	4	NA	NA	NA	NA	15	16	0	0	0	192	1	0	0	0	0	0	3	3	1	0	1	47	0	2	14900	36000	1200000	69.19	73.1	193	1267	2152	397	1635	2096	1903	1903	890.5	0.045	102.03	109.52	65610	15618275	18721177	NA	2	30	0	13.3	12.9	40.3	46.7	4.42755e+08	0.138	4.428e+08	220	1853	57	1	0	0	0	0	0	0	0	0	1	10.4913	28.3514	0.000118643	1.236e+06	0.0791381	0.000412177	14.0274	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	16.564	7.34059e+08	7.34059e+08	0	0	0.138	102.03	220	47	2209	NA	46.7	2194.9	1903	0	0	0	0	0	0	0.488656	0.00742687	0.11557	220	220	0.193527	0.193527	0.244123	0.244123	-2.9584	0.049341	-4.93868	0.00711307	-4.27777	0.0136838	-0.075764	0.481068	-3.30944	0.0352488	-2.57689	0.0706409	-2.95975	0.0492778	-5.0428	0.00641423	-5.31461	0.00489513	-1.11261	0.247386	-5.11042	0.00599739	-0.908414	0.287325	-2.39856	0.0832824	1.80344	0.858567	-0.555161	0.364668	3.64684	0.974589
1	IDN3	67	IDN	IDN	Indonesia	56	60	2	4	0	0	0	0	1	0	1	1	1	0	0	0	5	5	3	5	5	3	-10	-10	-10	0	0	0	0	33	NA	NA	NA	NA	NA	NA	10	12	1	1	0	49	0	0	0	0	0	0	0	0	1	1	1	76	1	4	30000	30000	0	38	41	600	621	1626	73	638	638	638	638	1874.4	0.093	70.79	70.79	1904570	92538909	111306980	122889369	NA	151	2	43.4	43.4	3	33.3	8.8e+07	0.108	1.26e+08	43.6403	11966	74	1	0	0	0	0	0	0	0	0	1	10.309	1.36159	0.000129308	30000	0.000324188	6.61608e-06	10.309	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	16	18.3431	7.03296e+09	7.03296e+09	0	0	0.108	70.79	43.6403	76	5776	380	33.3	2530.8	638	0	0	0	0	1	0	0.247748	0.000356679	0.0359505	43.6403	43.6403	0.229191	0.229191	0.202494	0.202494	-3.06017	0.0447804	-5.04046	0.0064292	-4.37954	0.0123761	-0.177535	0.455732	-5.46531	0.00421322	-4.73275	0.00872541	-0.971992	0.274484	-3.05505	0.0450001	-3.32685	0.0346615	0.875151	0.705816	-5.21219	0.0054202	-1.01019	0.266944	-0.410806	0.398719	3.7912	0.97793	-0.656932	0.341429	3.54507	0.971943
1	IDN2	66	IDN	IDN	Indonesia-Dar.	53	53	1	4	0	0	0	0	1	0	0	0	0	0	0	0	10	10	5	10	10	5	-20	-20	-20	0	0	0	0	33	NA	NA	NA	NA	NA	NA	12	8	1	1	0	2	1	0	0	0	0	0	0	0	0	0	1	76	1	4	1000	30000	0	37	37	600	621	1626	64	640	640	640	640	1874.4	0.093	70.79	70.79	1904570	87348334	96415441	107009997	1.1	160	2	43.4	43.4	3	33.49	8.8e+07	NA	1.26e+08	43.6403	7554	74	1	0	0	0	0	0	0	0	0	1	10.309	1.4425	8.64813e-05	30000	0.000343452	0.000171726	10.309	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	16	18.2854	6.63847e+09	6.63847e+09	0	0	0.11808	70.79	43.6403	76	5776	760	33.49	2545.24	640	0	0	0	0	1	0	0.431428	0.000377874	0.0360505	43.6403	43.6403	0.0536758	0.0536758	0.0396123	0.0396123	-3.06017	0.0447804	-5.04046	0.0064292	-4.37954	0.0123761	-0.177535	0.455732	-5.46531	0.00421322	-4.73275	0.00872541	-0.971992	0.274484	-3.05505	0.0450001	-3.32685	0.0346615	0.875151	0.705816	-5.21219	0.0054202	-1.01019	0.266944	-0.410806	0.398719	3.7912	0.97793	-0.656932	0.341429	3.54507	0.971943
1	JRD	77	JRD	JRD	Jordan	71	71	3	3	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	1	0	0	1	1	1	1	6	6	6	6	6	6	6	1	1	1	1	0	6	1	0	0	0	0	0	0	0	1	0	0	5	1	4	2100	12500	0	54	54	60	1141	2720	889	1604	1604	1422	1422	920.7	0.212	341.17	784.04	89210	2299000	1810000	2181000	2.8	42	4	46	46	77	39.19	1.5837e+09	0.074	1.39e+09	387.438	781	11	1	0	0	0	0	0	0	0	0	1	9.43348	604.611	0.000339713	12500	0.00543715	0.000906191	9.43348	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	16	14.648	1.1495e+07	1.1495e+07	0	0	0.074	341.17	387.438	5	25	5	39.19	195.95	1422	0	0	0	0	1	0	0.421645	0.158383	0.10706	387.438	387.438	0.358955	0.358955	0.353961	0.353961	-2.86178	0.0540758	-4.84206	0.007829	-4.18114	0.015051	0.0208589	0.505215	-5.46531	0.00421322	-4.73275	0.00872541	-0.503995	0.376602	-2.58705	0.0699766	-2.85885	0.0542255	1.34315	0.793007	-5.01379	0.00660178	-0.811791	0.307509	0.0571913	0.514294	4.25919	0.986063	-0.458538	0.387333	3.74346	0.976875
3	CHD2	25	CHD	CHD	Chad	80	94	4	5	0	0	0	0	0	1	1	1	NA	1	1	NA	8	8	NA	8	8	NA	8	8	NA	1	1	1	NA	6	6	4	NA	NA	NA	NA	2	1	1	2	0	168	1	1	2	1	2	2	3	3	1	1	1	69	1	3	NA	1500	17500	42.16	45.4	50	664	383	600	528	592	736	736	265.8	0.01	20.77	16.47	1284000	4507445	6402179	7359512	2.3	149	6	77	77	29.4	29.6	1.40715e+08	0.081	8.66504e+07	14	97	144	1	1	1	0	1	1	0	0	0	1	7.31322	19.2238	2.152e-05	19000	0.00421525	2.50908e-05	9.85219	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	9	15.3212	3.11014e+08	3.11014e+08	0	4	0.081	20.77	14	69	4761	552	29.6	2042.4	736	0	0	0	1	0	0.25	0.453486	0.00504001	0.0380994	14	14	0.626137	-0.373863	0.701092	-0.298908	-3.07728	0.0440544	-5.05756	0.00632086	-4.39664	0.0121687	-0.19464	0.451493	-4.50174	0.010968	-3.76919	0.0225505	-0.727824	0.325672	-2.81088	0.0567392	-3.08268	0.0438273	1.11932	0.753862	-5.22929	0.00532877	-1.02729	0.26361	-0.166637	0.458437	4.03536	0.982628	-0.674037	0.337594	3.52797	0.971473
1	LEB1	81	LEB	LEB	Lebanon	58	58	2	3	0	0	0	1	0	0	1	1	1	1	1	1	12	12	12	12	12	12	12	12	12	1	1	1	1	50	NA	NA	NA	NA	NA	NA	12	12	2	4	1	4	1	1	3	1	3	3	0	3	1	1	0	13	1	6	1400	30000	1000000	58	58	55	NA	NA	207	207	207	207	207	132.2	0.254	746.26	746.26	10400	1692357	1940191	2253719	NA	70	2	23.2	23.2	92	55	1.6522e+09	NA	1.6522e+09	788.725	1000	85	1	1	1	1	1	1	1	1	1	0	10.309	976.272	0.000590892	1.03e+06	0.608619	0.152155	13.8451	1	0	1	0	0	0	1	0	0	0	1	0	0	1	2	0	0	1	0	2	4	36	14.3416	2.20006e+07	2.20006e+07	3	12	0.0618525	746.26	788.725	13	169	156	55	715	207	1	0	0	0	0	0.5	0.546672	0.506236	0.0835563	788.725	788.725	0.828561	-0.171439	0.862565	-0.137435	-2.63021	0.0672195	-4.61049	0.00984896	-3.94957	0.0188989	0.252429	0.562774	-6.7062	0.00122181	-5.97364	0.00253849	-2.86229	0.0540497	-4.94534	0.00706622	-5.21714	0.00539355	-1.01514	0.265975	-4.78222	0.00830776	-0.580221	0.358882	-2.3011	0.091032	1.9009	0.869994	-0.226968	0.4435	3.97503	0.981567
1	LEB2	82	LEB	LEB	Lebanon	75	78	4	3	0	0	0	1	0	0	1	0	0	0	0	0	9	9	9	NA	NA	NA	-10	-20	-20	0	0	0	0	50	4	4	4	4	5	4	15	14	2	4	1	36	1	0	0	0	0	0	0	0	1	1	1	13	1	6	125892	125892	1000000	65	65	55	NA	NA	1017	1020	1020	1020	1020	132.2	0.254	773.76	888.51	10400	3095396	3068237	3065660	3.1	48	2	23.2	23.2	92	55	1.6522e+09	NA	1.6522e+09	788.725	3105	85	1	0	0	0	0	0	0	1	1	0	11.7432	533.76	0.0010031	1.12589e+06	0.363731	0.0101036	13.9341	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	36	14.9454	4.02401e+07	4.02401e+07	0	0	0.067795	773.76	788.725	13	169	117	55	715	1020	0	0	0	0	0	0	0.558919	0.139823	0.124206	788.725	788.725	0.925405	0.925405	0.914465	0.914465	-2.63021	0.0672195	-4.61049	0.00984896	-3.94957	0.0188989	0.252429	0.562774	-6.7062	0.00122181	-5.97364	0.00253849	-2.90987	0.0516678	-4.99292	0.00674006	-5.26473	0.00514419	-1.06273	0.256789	-4.78222	0.00830776	-0.580221	0.358882	-2.34868	0.0871704	1.85332	0.864516	-0.226968	0.4435	3.97503	0.981567
5	CYP2	42	CYP	CYP	Cyprus	74	74	3	1	0	1	0	0	0	0	1	1	1	1	1	1	20	20	20	20	20	20	-20	-20	-20	1	0	0	0	56	3	4	3	4	3	3	1	1	3	3	0	3	1	1	3	1	3	3	0	3	1	0	1	35	1	5	5000	5000	290000	71	72	10	2039	6442	1327	3753	3753	4693	4693	NA	0.479	1039.01	1619.43	9250	610000	623000	653000	1.1	27	0	11	11	95	19.29	2.17124e+07	0.132	4.05627e+07	1494.31	824	38	1	0	0	0	0	0	0	1	1	0	8.51719	66.4962	0.00135082	295000	0.483607	0.161202	12.5947	1	0	1	0	0	0	1	0	0	0	1	0	0	1	2	0	0	1	0	0	6	25	13.3212	2.135e+07	2.135e+07	0	9	0.132	1039.01	1494.31	35	1225	700	19.29	675.15	4693	1	0	1	0	0	0.5	0.494004	0.120286	0.373346	1494.31	1494.31	0.619095	-0.380905	0.722396	-0.277604	-2.22303	0.0977009	-4.20332	0.0147258	-3.5424	0.0281296	0.659601	0.659171	-6.20012	0.00202507	-5.46757	0.00420373	-2.1939	0.1003	-4.27695	0.0136948	-4.54875	0.0104696	-0.346752	0.41417	-4.37505	0.012431	-0.173049	0.456845	-1.63271	0.16346	2.56929	0.928859	0.180204	0.544929	4.38221	0.987656
1	SRI1	117	SRI	SRI	Sri Lanka (JVP I)	71	71	3	4	0	0	0	0	1	0	1	1	1	1	1	1	18	18	15	18	18	15	18	18	15	1	1	1	1	83	2	3	2	3	2	3	17	17	1	1	0	6	0	0	0	0	0	0	0	0	1	1	0	47	0	2	2000	2000	0	64.67	64.67	38	1267	2152	260	1243	1243	1251	1251	890.5	0.045	80.47	95.22	65610	12776057	13887354	15151762	2	53	0	22.4	22.4	21	37.71	4.42755e+08	0.142	4.428e+08	95.5371	2389	57	1	1	1	1	1	1	1	0	0	1	7.6009	34.6586	0.00018699	2000	0.000156543	2.60905e-05	7.6009	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	16.3631	6.00475e+08	6.00475e+08	0	0	0.142	80.47	95.5371	47	2209	846	37.71	1772.37	1251	0	0	0	0	1	0	0.142059	0.00907909	0.0714174	95.5371	95.5371	0.0934236	0.0934236	0.0862232	0.0862232	-3.03022	0.046079	-5.01051	0.00662336	-4.34959	0.0127475	-0.147587	0.46317	-3.30944	0.0352488	-2.57689	0.0706409	0.475643	0.616719	-1.60741	0.166949	-1.87921	0.132479	2.32279	0.910747	-5.18224	0.00558406	-0.980237	0.272845	1.03683	0.738238	5.23883	0.994722	-0.626984	0.348195	3.57502	0.972749
1	ROM	107	ROM	ROM	Romania	89	89	5	1	0	1	0	0	0	0	1	1	1	1	1	1	15	15	14	15	15	14	15	15	14	1	1	1	1	11	5	5	4	3	NA	NA	2	2	1	1	0	6	0	0	0	0	0	0	0	0	0	0	0	25	0	2	1014	1014	4600	69.53	69.53	197	NA	NA	1995	1995	1995	3043	2043	321.1	0.739	3026.09	1784.85	237500	22768587	22627254	22291200	NA	25	5	3.2	3.2	95	23.38	1.06e+08	0.04	1.06e+08	2433.9	103888	25	1	1	1	1	1	1	1	0	0	1	6.92166	4.65554	0.00456278	5614	0.000246568	4.10946e-05	8.63302	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	16.9409	5.69215e+08	5.69215e+08	0	0	0.04	3026.09	2433.9	25	625	375	23.38	584.5	3043	0	0	0	0	1	0	0.155231	0.00121955	0.378055	2433.9	2433.9	0.0208368	0.0208368	0.0666798	0.0666798	-1.68083	0.156986	-3.66111	0.0250598	-3.00019	0.0474171	1.20181	0.768846	-3.30944	0.0352488	-2.57689	0.0706409	-0.0760924	0.480986	-2.15915	0.10348	-2.43095	0.0808428	1.77105	0.854588	-3.83284	0.0211893	0.369159	0.591256	0.485094	0.61895	4.6871	0.990871	0.722412	0.673138	4.92441	0.992785
3	CUB	40	CUB	CUB	Cuba	58	59	2	2	0	0	1	0	0	0	1	1	1	0	0	0	3	3	3	3	3	3	-10	-10	-10	1	0	0	0	17	NA	NA	NA	NA	NA	NA	1	7	1	2	0	7	0	0	0	0	0	0	0	0	0	1	0	4	0	2	5000	5000	700000	63	65	120	NA	NA	295	2950	2950	2950	2950	37.6	0.372	731.23	731.23	110860	6763000	7612275	8421048	NA	32	0	10	10	56	28.11	NA	NA	NA	823.176	5394	34	1	0	0	0	0	0	0	0	0	1	8.51719	NA	0.000797575	705000	0.104244	0.014892	13.466	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	15.727	2.7052e+07	2.7052e+07	0	0	0.127303	731.23	823.176	4	16	12	28.11	112.44	2950	0	0	0	1	0	0	0.217255	NA	0.223904	823.176	823.176	NA	NA	NA	NA	-2.61033	0.0684768	-4.59061	0.0100447	-3.92969	0.019271	0.272309	0.56766	-3.30944	0.0352488	-2.57689	0.0706409	-2.65962	0.0653984	-4.74268	0.00864	-5.01448	0.00659727	-0.812479	0.307362	-4.76234	0.00847316	-0.56034	0.363469	-2.09844	0.109249	2.10357	0.891249	-0.207087	0.448412	3.99491	0.981924
1	CYP1	41	CYP	CYP	Cyprus	63	64	2	1	0	1	0	0	0	0	1	1	0	0	0	0	NA	17	20	NA	17	20	-10	-10	-20	0	0	0	0	56	NA	NA	NA	NA	4	4	1	1	3	3	0	4	1	1	3	1	3	3	0	3	1	0	1	35	1	4	2000	2000	60000	69	69	21	2039	6442	472	2037	2037	2571	2571	NA	0.479	1037.81	1393.54	9250	578000	608000	610000	1.1	29	0	11	11	95	19.29	2.17124e+07	0.132	4.05627e+07	1494.31	490	38	1	0	0	0	0	0	0	1	1	0	7.6009	70.1777	0.000847751	62000	0.107266	0.0268166	11.0349	1	0	1	0	0	0	1	0	0	0	1	0	0	1	2	0	0	1	0	0	6	16	13.2673	2.023e+07	2.023e+07	0	9	0.132	1037.81	1494.31	35	1225	NA	19.29	675.15	2571	1	0	1	0	0	0.5	0.441387	0.0631375	0.267246	1494.31	1494.31	0.518984	-0.481016	0.72217	-0.27783	-2.22303	0.0977009	-4.20332	0.0147258	-3.5424	0.0281296	0.659601	0.659171	-5.46531	0.00421322	-4.73275	0.00872541	-1.36005	0.204231	-3.44311	0.0309751	-3.71491	0.0237784	0.487089	0.61942	-4.37505	0.012431	-0.173049	0.456845	-0.798868	0.310268	3.40313	0.967802	0.180204	0.544929	4.38221	0.987656
3	NIG1	95	NIG	NIG	Nigeria-Biafra	67	70	3	5	0	0	0	0	0	1	1	1	1	1	1	1	3	3	3	3	3	3	3	3	3	1	1	1	1	83	6	4	6	5	2	3	15	15	1	1	0	36	1	0	0	0	0	0	0	0	0	0	0	87	0	2	1000000	2000000	500000	41.96	42.86	1154	557	860	591	624	767	485	485	262.6	0.056	38.33	137.16	923770	45886860	56224344	65698766	3.1	146	4	47	45.3	36	48	-2.59573e+08	0.123	-3.769e+08	68.1957	3389	95	1	0	0	0	0	0	0	0	0	1	14.5087	-8.21368	7.38556e-05	2.5e+06	0.0544818	0.00151338	14.7318	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	17.6417	3.99216e+09	3.99216e+09	0	0	0.123	38.33	68.1957	87	7569	261	48	4176	485	0	0	0	0	1	0	0.443479	-0.00215164	0.0305797	68.1957	68.1957	0.0114151	0.0114151	0.0125522	0.0125522	-3.046	0.0453904	-5.02629	0.00652035	-4.36537	0.0125505	-0.163365	0.459249	-3.30944	0.0352488	-2.57689	0.0706409	-3.3363	0.0343465	-5.41936	0.00441046	-5.69116	0.00336431	-1.48916	0.184048	-5.19802	0.00549713	-0.996015	0.269726	-2.77512	0.0586837	1.42688	0.806415	-0.642762	0.344622	3.55924	0.972327
1	GRE	54	GRE	GRE	Greece-Communists	44	49	1	1	0	1	0	0	0	0	1	1	1	1	1	1	14	14	14	14	14	14	14	14	14	1	1	1	1	94	NA	NA	NA	NA	NA	NA	2	11	1	1	0	60	0	1	2	1	2	2	4	4	1	1	0	10	1	4	15000	160138	700000	64	64	15	2093	NA	1409	252	252	1409	1409	NA	0.491	920.62	920.62	131990	7456000	7886000	8255000	NA	45	4	15.6	15.6	65	34.53	1.666e+09	0.047	1.29e+09	2063.99	821	11	1	1	1	1	1	1	1	0	0	1	11.9838	173.015	0.000110113	860138	0.115362	0.0019227	13.6648	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	16	15.8245	7.456e+07	7.456e+07	0	2	0.047	920.62	2063.99	10	100	140	34.53	345.3	1409	0	0	0	0	1	0.25	0.294395	0.0453728	0.262022	2063.99	2063.99	0.258898	-0.741102	0.550107	-0.449893	-1.89429	0.130756	-3.87458	0.0203408	-3.21366	0.038655	0.988343	0.728761	-5.46531	0.00421322	-4.73275	0.00872541	-2.76595	0.0591924	-4.849	0.00777529	-5.1208	0.00593578	-0.918802	0.285202	-4.04631	0.0171863	0.155694	0.538845	-2.20476	0.099324	1.99724	0.880507	0.508947	0.62456	4.71095	0.991084
